component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
305,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0102
306,5,4,True,3,3,4,3,1.0,13,exact_parallel,0.0095
307,5,5,True,2,2,3,2,0.75,12,exact_parallel,0.0084
308,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.0091
309,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.01
310,5,6,True,3,3,4,2,0.6666666666666666,12,exact_parallel,0.0126
311,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0113
312,5,7,True,4,4,5,2,0.8666666666666667,15,exact_parallel,0.0132
313,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.0131
314,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0116
315,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.0197
316,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0103
317,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.0104
318,5,5,True,3,3,4,3,0.9230769230769231,13,exact_parallel,0.0117
319,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0129
320,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0125
321,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0085
322,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.008
323,5,7,True,4,4,5,2,0.8666666666666667,15,exact_parallel,0.0087
324,5,6,True,4,4,5,2,0.9333333333333333,15,exact_parallel,0.0115
325,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0124
326,5,5,True,2,2,3,2,0.75,12,exact_parallel,0.0129
327,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0076
328,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0077
329,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0133
330,5,5,True,3,3,4,2,0.8461538461538461,13,exact_parallel,0.0134
331,5,5,True,3,3,4,3,1.0,14,exact_parallel,0.0111
332,5,8,True,3,3,4,1,0.6153846153846154,13,exact_parallel,0.0114
333,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0103
334,5,7,True,4,4,5,2,0.8666666666666667,15,exact_parallel,0.0092
335,5,4,True,3,3,4,3,1.0,13,exact_parallel,0.0079
336,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0077
337,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0084
338,5,4,True,3,3,4,3,0.9166666666666666,12,exact_parallel,0.0076
339,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0081
340,5,7,True,2,2,3,1,0.5833333333333334,12,exact_parallel,0.0124
341,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0083
342,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.008
343,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.008
344,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.008
345,5,5,True,3,3,4,3,0.9230769230769231,13,exact_parallel,0.0085
346,5,5,True,3,3,4,2,0.8461538461538461,13,exact_parallel,0.0085
347,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0087
348,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0085
349,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.009
350,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0081
351,5,7,True,2,2,3,1,0.5833333333333334,12,exact_parallel,0.0082
352,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0089
353,5,4,True,3,3,4,3,1.0,13,exact_parallel,0.0085
